ns	type	id	name	description	code	country	admin1Code	geonameId
places.org.ai	State	US.AR	Arkansas	Arkansas	US.AR	US	AR	4099753
places.org.ai	State	US.DC	District of Columbia	District of Columbia	US.DC	US	DC	4138106
places.org.ai	State	US.DE	Delaware	Delaware	US.DE	US	DE	4142224
places.org.ai	State	US.FL	Florida	Florida	US.FL	US	FL	4155751
places.org.ai	State	US.GA	Georgia	Georgia	US.GA	US	GA	4197000
places.org.ai	State	US.KS	Kansas	Kansas	US.KS	US	KS	4273857
places.org.ai	State	US.LA	Louisiana	Louisiana	US.LA	US	LA	4331987
places.org.ai	State	US.MD	Maryland	Maryland	US.MD	US	MD	4361885
places.org.ai	State	US.MO	Missouri	Missouri	US.MO	US	MO	4398678
places.org.ai	State	US.MS	Mississippi	Mississippi	US.MS	US	MS	4436296
places.org.ai	State	US.NC	North Carolina	North Carolina	US.NC	US	NC	4482348
places.org.ai	State	US.OK	Oklahoma	Oklahoma	US.OK	US	OK	4544379
places.org.ai	State	US.SC	South Carolina	South Carolina	US.SC	US	SC	4597040
places.org.ai	State	US.TN	Tennessee	Tennessee	US.TN	US	TN	4662168
places.org.ai	State	US.TX	Texas	Texas	US.TX	US	TX	4736286
places.org.ai	State	US.WV	West Virginia	West Virginia	US.WV	US	WV	4826850
places.org.ai	State	US.AL	Alabama	Alabama	US.AL	US	AL	4829764
places.org.ai	State	US.CT	Connecticut	Connecticut	US.CT	US	CT	4831725
places.org.ai	State	US.IA	Iowa	Iowa	US.IA	US	IA	4862182
places.org.ai	State	US.IL	Illinois	Illinois	US.IL	US	IL	4896861
places.org.ai	State	US.IN	Indiana	Indiana	US.IN	US	IN	4921868
places.org.ai	State	US.ME	Maine	Maine	US.ME	US	ME	4971068
places.org.ai	State	US.MI	Michigan	Michigan	US.MI	US	MI	5001836
places.org.ai	State	US.MN	Minnesota	Minnesota	US.MN	US	MN	5037779
places.org.ai	State	US.NE	Nebraska	Nebraska	US.NE	US	NE	5073708
places.org.ai	State	US.NH	New Hampshire	New Hampshire	US.NH	US	NH	5090174
places.org.ai	State	US.NJ	New Jersey	New Jersey	US.NJ	US	NJ	5101760
places.org.ai	State	US.NY	New York	New York	US.NY	US	NY	5128638
places.org.ai	State	US.OH	Ohio	Ohio	US.OH	US	OH	5165418
places.org.ai	State	US.RI	Rhode Island	Rhode Island	US.RI	US	RI	5224323
places.org.ai	State	US.VT	Vermont	Vermont	US.VT	US	VT	5242283
places.org.ai	State	US.WI	Wisconsin	Wisconsin	US.WI	US	WI	5279468
places.org.ai	State	US.CA	California	California	US.CA	US	CA	5332921
places.org.ai	State	US.CO	Colorado	Colorado	US.CO	US	CO	5417618
places.org.ai	State	US.NM	New Mexico	New Mexico	US.NM	US	NM	5481136
places.org.ai	State	US.NV	Nevada	Nevada	US.NV	US	NV	5509151
places.org.ai	State	US.UT	Utah	Utah	US.UT	US	UT	5549030
places.org.ai	State	US.AZ	Arizona	Arizona	US.AZ	US	AZ	5551752
places.org.ai	State	US.ID	Idaho	Idaho	US.ID	US	ID	5596512
places.org.ai	State	US.MT	Montana	Montana	US.MT	US	MT	5667009
places.org.ai	State	US.ND	North Dakota	North Dakota	US.ND	US	ND	5690763
places.org.ai	State	US.OR	Oregon	Oregon	US.OR	US	OR	5744337
places.org.ai	State	US.SD	South Dakota	South Dakota	US.SD	US	SD	5769223
places.org.ai	State	US.WA	Washington	Washington	US.WA	US	WA	5815135
places.org.ai	State	US.WY	Wyoming	Wyoming	US.WY	US	WY	5843591
places.org.ai	State	US.HI	Hawaii	Hawaii	US.HI	US	HI	5855797
places.org.ai	State	US.AK	Alaska	Alaska	US.AK	US	AK	5879092
places.org.ai	State	US.KY	Kentucky	Kentucky	US.KY	US	KY	6254925
places.org.ai	State	US.MA	Massachusetts	Massachusetts	US.MA	US	MA	6254926
places.org.ai	State	US.PA	Pennsylvania	Pennsylvania	US.PA	US	PA	6254927
places.org.ai	State	US.VA	Virginia	Virginia	US.VA	US	VA	6254928
