id	code	name	description	parent

CattleAndCalves	11111	Cattle and calves	This class comprises live beef and dairy cattle, and live calves.	111
Hogs	11112	Hogs	This class comprises live porcine animals.	111
Poultry	11113	Poultry	This class comprises live poultry.	111
OtherLiveAnimals	11114	Other live animals	This class comprises live animals n.e.c., live insects and live semen.	111
Wheat	11211	Wheat	This class comprises all the varieties of unmilled wheat.	112
CanolaIncludingRapeseed	11311	Canola (including rapeseed)	This class comprises canola and rapeseed.	113
FreshFruitAndNuts	11411	Fresh fruit and nuts	This class comprises fresh fruit and nuts.	114
FreshPotatoes	11421	Fresh potatoes	This class comprises fresh potatoes.	114
FreshVegetablesExceptPotatoesAndPulseCrops	11422	Fresh vegetables (except potatoes and pulse crops)	This class comprises fresh vegetables, except potatoes and pulse crops. Vegetables are temporary crops cultivated principally for human consumption both as field crops and garden crops, in the open and under protective cover. Certain gramineous and leguminous plants, if harvested while green for their green grains or for their green pods (for example, green peas, string beans, green maize) are treated as fresh vegetables, but if harvested for their dry grains or seeds, are classified as cereals and pulse crops.	114
PulseCropsExceptSoybeans	11431	Pulse crops (except soybeans)	This class comprises pulse crops, which are dry annual leguminous plants or edible seeds, harvested from pods, and primarily for the use in food processing, as both human food and animal feed.	114
GrainsExceptWheat	11511	Grains (except wheat)	This class comprises unmilled cereal type grains, except wheat.	115
OilseedsExceptCanola	11512	Oilseeds (except canola)	This class comprises oilseeds, except canola.	115
OtherMiscellaneousCropProducts	11513	Other miscellaneous crop products	This class comprises other miscellaneous crop products.	115
FloricultureAndNurseryProductsAndSod	11514	Floriculture and nursery products, and sod	This class comprises natural floriculture, nursery products and sod.	115
EggsInShell	11611	Eggs in shell	This class comprises eggs in shell for consumption and for hatcheries.	116
UnprocessedMilk	11612	Unprocessed milk	This class comprises unprocessed milk.	116
RawFurskinsAndAnimalProductsN.e.c.	11613	Raw furskins, and animal products n.e.c.	This class comprises raw furskins; raw wool and animal hair; natural honey; and pregnant mare urine.	116
FishCrustaceansShellfishAndOtherFisheryProducts	12111	Fish, crustaceans, shellfish and other fishery products	This class comprises fish, crustaceans, shellfish and other fishery products, live and dead, except processed beyond frozen or dressed.	121
LogsAndBolts	13111	Logs and bolts	This class comprises wood logs and bolts.	131
Pulpwood	13112	Pulpwood	This class comprises pulpwood.	131
RoughUntreatedPolesPostsAndPiling	13113	Rough untreated poles, posts and piling	This class comprises rough untreated poles, posts and piling.	131
ConventionalCrudeOil	14111	Conventional crude oil	This class comprises crude oil (a mixture of hydrocarbons in liquid phase) extracted by conventional methods from underground reservoirs.	141
