id	code	name	description	parent

CattleAndCalves	111111	Cattle and calves	This subclass comprises live beef and dairy cattle, and live calves.	11111
Hogs	111121	Hogs	This subclass comprises live porcine animals.	11112
Chickens	111131	Chickens	This subclass comprises live chickens.	11113
Turkeys	111132	Turkeys	This subclass comprises live turkeys.	11113
ChicksAndPoults	111133	Chicks and poults	This subclass comprises live chicks and poults.	11113
PoultryExceptChickensTurkeysChicksAndPoults	111134	Poultry (except chickens, turkeys, chicks and poults)	This subclass comprises live poultry, except chickens, turkeys, chicks and poults.	11113
SheepLambsAndGoats	111141	Sheep, lambs and goats	This subclass comprises live sheep, lambs and goats.	11114
FurBearingAnimals	111142	Fur-bearing animals	This subclass comprises live fur-bearing animals.	11114
OtherMiscellaneousLiveAnimals	111143	Other miscellaneous live animals	This subclass comprises other live animals for meat and for hair; pets and laboratory animals; bees and pollinating insects; other live animals, n.e.c.; semen; and animal embryos.	11114
Wheat	112111	Wheat	This subclass comprises all the varieties of unmilled wheat.	11211
CanolaIncludingRapeseed	113111	Canola (including rapeseed)	This subclass comprises canola and rapeseed.	11311
FreshBerries	114111	Fresh berries	This subclass comprises fresh berries.	11411
FreshCitrusFruit	114112	Fresh citrus fruit	This subclass comprises fresh citrus fruit.	11411
FreshTropicalAndSemitropicalFruitExceptCitrusFruit	114113	Fresh tropical and semitropical fruit (except citrus fruit)	This subclass comprises fresh tropical and semitropical fruit, except citrus fruit.	11411
OtherFreshFruit	114114	Other fresh fruit	This subclass comprises fresh fruit n.e.c.	11411
Nuts	114115	Nuts	This subclass comprises nuts.	11411
FreshPotatoes	114211	Fresh potatoes	This subclass comprises fresh potatoes.	11421
FreshVegetablesExceptPotatoesAndPulseCrops	114221	Fresh vegetables (except potatoes and pulse crops)	This subclass comprises fresh vegetables, except potatoes and pulse crops. Vegetables are temporary crops cultivated principally for human consumption both as field crops and garden crops, in the open and under protective cover. Certain gramineous and leguminous plants, if harvested while green for their green grains or for their green pods (for example, green peas, string beans, green maize) are treated as fresh vegetables, but if harvested for their dry grains or seeds, are classified as cereals and pulse crops.	11422
Chickpeas	114311	Chickpeas	This subclass comprises chickpeas.	11431
Lentils	114312	Lentils	This subclass comprises lentils.	11431
DryBeans	114313	Dry beans	This subclass comprises dry beans.	11431
DryPeas	114314	Dry peas	This subclass comprises dry peas.	11431
OtherPulseCrops	114315	Other pulse crops	This subclass comprises other pulse crops.	11431
CornForGrain	115111	Corn for grain	This subclass comprises unmilled corn for grain.	11511
UnmilledRice	115112	Unmilled rice	This subclass comprises unmilled rice.	11511
Oats	115113	Oats	This subclass comprises unmilled oats, hulless and unhulled.	11511
Barley	115114	Barley	This subclass comprises unmilled barley, hulless and unhulled.	11511
OtherGrainsN.e.c.	115115	Other grains, n.e.c.	This subclass comprises unmilled grains n.e.c.	11511
Soybeans	115121	Soybeans	This subclass comprises unprocessed soybeans.	11512
OilseedsExceptCanolaAndSoybeans	115122	Oilseeds (except canola and soybeans)	This subclass comprises oilseeds, except canola and soybeans.	11512
UnstemmedLeafTobacco	115131	Unstemmed leaf tobacco	This subclass comprises unstemmed leaf tobacco.	11513
SugarCaneAndSugarBeets	115132	Sugar cane and sugar beets	This subclass comprises sugar cane and sugar beets.	11513
RawTea	115133	Raw tea	This subclass comprises raw tea, except packaged and prepared.	11513
CocoaBeans	115134	Cocoa beans	This subclass comprises cocoa beans.	11513
GreenCoffeeBeans	115135	Green coffee beans	This subclass comprises green coffee beans.	11513
MapleSyrupAndOtherMapleProducts	115136	Maple syrup and other maple products	This subclass comprises maple syrup and other maple products.	11513
RawCotton	115137	Raw cotton	This subclass comprises raw cotton.	11513
HayAndForage	115138	Hay and forage	This subclass comprises hay and forage.	11513
OtherMiscellaneousCropProductsN.e.c.	115139	Other miscellaneous crop products, n.e.c.	This subclass comprises other miscellaneous crop products, n.e.c.	11513
SeedsOfFlowersShrubsAndTrees	115141	Seeds of flowers, shrubs and trees	This subclass comprises flower, shrub and tree seeds.	11514
